,1200,11    ,1200,8	,1200,8	    ,1200,18	,1200,8	    ,1200,8
,4580,55    ,4580,56	,4580,56    ,4580,64	,4580,60    ,4580,62
,7960,138   ,7960,139	,7960,143   ,7960,150	,7960,144   ,7960,154
,11340,255  ,11340,259	,11340,266  ,11340,274	,11340,270  ,11340,275
,14720,405  ,14720,411	,14720,417  ,14720,452	,14720,419  ,14720,429
,18100,592  ,18100,604	,18100,618  ,18100,631	,18100,607  ,18100,607
,21480,819  ,21480,830	,21480,839  ,21480,849	,21480,829  ,21480,834
,24860,1089 ,24860,1087 ,24860,1108 ,24860,1113 ,24860,1090 ,24860,1090
,28240,1363 ,28240,1381 ,28240,1385 ,28240,1397 ,28240,1373 ,28240,1375
,31620,1721 ,31620,1710 ,31620,1736 ,31620,1730 ,31620,1719 ,31620,1701
,35000,2055 ,35000,2066 ,35000,2075 ,35000,2089 ,35000,2066 ,35000,2091
