,18    ,26    ,18    ,18    ,24	   ,19	  ,18	 ,22	,19    ,23
,29    ,23    ,22    ,26    ,26	   ,28	  ,28	 ,29	,24    ,22
,23    ,33    ,25    ,22    ,25	   ,24	  ,23	 ,25	,22    ,23
,30    ,28    ,27    ,28    ,27	   ,33	  ,38	 ,37	,32    ,30
,29    ,28    ,31    ,32    ,31	   ,36	  ,36	 ,37	,34    ,30
,33    ,33    ,33    ,34    ,32	   ,33	  ,34	 ,35	,40    ,37
,37    ,40    ,41    ,42    ,40	   ,40	  ,36	 ,40	,36    ,37
,45    ,42    ,48    ,38    ,44	   ,44	  ,41	 ,37	,44    ,37
,44    ,41    ,43    ,50    ,48	   ,47	  ,43	 ,47	,39    ,44
,52    ,48    ,52    ,44    ,45	   ,46	  ,48	 ,46	,48    ,52
,51    ,50    ,51    ,50    ,52	   ,50	  ,57	 ,55	,54    ,54
