,489	       ,12296	      ,14113	     ,19660	    ,23833	   ,26638	  ,38221	 ,19368
,1548	       ,20191	      ,32971	     ,33267	    ,40618	   ,44113	  ,13702	 ,58668
,2695	       ,23611	      ,39462	     ,44782	    ,45338	   ,49398	  ,55629	 ,84155
,3787	       ,29648	      ,53892	     ,52126	    ,17170	   ,59720	  ,69162	 ,21896
,4929	       ,34919	      ,57109	     ,68160	    ,67626	   ,20803	  ,15337	 ,22965
,6071	       ,39893	      ,19069	     ,26837	    ,74966	   ,85124	  ,21857	 ,34073
,7071	       ,45646	      ,18978	     ,83669	    ,22151	   ,95384	  ,19010	 ,34218
,8158	       ,15777	      ,21393	     ,98271	    ,24402	   ,25224	  ,21682	 ,31445
,9347	       ,17220	      ,23609	     ,22267	    ,121378	   ,75520	  ,23106	 ,28351
,10369	       ,25094	      ,27596	     ,25320	    ,25194	   ,28265	  ,84420	 ,26985
,11476	       ,41336	      ,34689	     ,28776	    ,27601	   ,30014	  ,27059	 ,34618
