,73	    ,90		,108	    ,105	,145	    ,51
,204	    ,186	,196	    ,185	,210	    ,224
,305	    ,266	,264	    ,251	,276	    ,287
,415	    ,345	,339	    ,319	,334	    ,343
,525	    ,431	,415	    ,100	,399	    ,315
,224	    ,520	,493	    ,239	,461	    ,115
,456	    ,257	,169	    ,153	,141	    ,132
,255	    ,691	,645	    ,151	,338	    ,159
,286	    ,789	,725	    ,199	,501	    ,158
,354	    ,873	,803	    ,276	,187	    ,172
,608	    ,874	,865	    ,214	,198	    ,191
,76	    ,86		,38	    ,94		,130	    ,44
,202	    ,173	,176	    ,61		,191	    ,212
,300	    ,88		,244	    ,76		,249	    ,273
,117	    ,96		,86	    ,287	,308	    ,326
,517	    ,386	,375	    ,99		,304	    ,373
,625	    ,459	,433	    ,405	,419	    ,97
,737	    ,535	,509	    ,466	,467	    ,127
,748	    ,611	,142	    ,486	,516	    ,444
,255	    ,686	,163	    ,274	,346	    ,147
,336	    ,763	,193	    ,153	,170	    ,145
,969	    ,714	,705	    ,181	,260	    ,156
,15	    ,85		,100	    ,106	,141	    ,52
,203	    ,167	,175	    ,171	,186	    ,208
,94	    ,236	,243	    ,233	,248	    ,259
,412	    ,308	,86	    ,85		,309	    ,320
,523	    ,112	,373	    ,347	,357	    ,83
,635	    ,455	,125	    ,104	,325	    ,390
,599	    ,133	,508	    ,462	,458	    ,336
,252	    ,155	,152	    ,141	,121	    ,141
,290	    ,201	,163	    ,140	,154	    ,141
,312	    ,764	,184	    ,174	,365	    ,143
,295	    ,839	,725	    ,173	,167	    ,164
,17	    ,83		,42	    ,40		,52	    ,158
,196	    ,167	,176	    ,171	,188	    ,211
,92	    ,235	,244	    ,228	,245	    ,261
,118	    ,311	,303	    ,84		,308	    ,306
,148	    ,97		,97	    ,94		,365	    ,369
,647	    ,127	,440	    ,416	,420	    ,313
,760	    ,540	,138	    ,461	,469	    ,476
,245	    ,316	,154	    ,470	,264	    ,328
,358	    ,180	,179	    ,151	,141	    ,250
,591	    ,758	,689	    ,162	,349	    ,157
,789	    ,241	,196	    ,179	,176	    ,147
