,5981		 ,6641		  ,5345		   ,5938	    ,6977	     ,8590	      ,17321
,25809		 ,20685		  ,15921	   ,14628	    ,13678	     ,13489	      ,18532
,50614		 ,34204		  ,28055	   ,23848	    ,21763	     ,21979	      ,23146
,77920		 ,47338		  ,38238	   ,31136	    ,30301	     ,27060	      ,24760
,394562		 ,78373		  ,68359	   ,52471	    ,52877	     ,45614	      ,37989
,390088		 ,116478	  ,98482	   ,77006	    ,74651	     ,60985	      ,50437
,706277		 ,149996	  ,124145	   ,98163	    ,93989	     ,78342	      ,62912
,918466		 ,198586	  ,154404	   ,122408	    ,113108	     ,97159	      ,74022
,1109141	 ,223844	  ,182741	   ,142664	    ,136102	     ,114063	      ,86269
,1109182	 ,251890	  ,204129	   ,158435	    ,151036	     ,126461	      ,98801
,1283120	 ,286434	  ,223509	   ,180745	    ,170367	     ,146970	      ,111492
,1443732	 ,324274	  ,247447	   ,198882	    ,187833	     ,164009	      ,121852
,1261962	 ,359175	  ,271094	   ,214790	    ,206353	     ,176932	      ,134035
,1167927	 ,389968	  ,288375	   ,234673	    ,224958	     ,199300	      ,146628
,1285058	 ,424106	  ,317482	   ,255720	    ,242981	     ,213745	      ,157410
,1365526	 ,459331	  ,334700	   ,284638	    ,254440	     ,230720	      ,172183
,1339021	 ,493625	  ,364109	   ,302243	    ,278275	     ,245587	      ,184439
,1394517	 ,533881	  ,381958	   ,318389	    ,300521	     ,263993	      ,195997
,1438070	 ,562871	  ,400775	   ,331638	    ,309129	     ,274789	      ,206092
,1438946	 ,597806	  ,428781	   ,353446	    ,329551	     ,292799	      ,222901
,1401507	 ,631803	  ,441187	   ,369049	    ,338132	     ,310367	      ,232441
,1509696	 ,666686	  ,465423	   ,384799	    ,362142	     ,326776	      ,244356
,1516967	 ,702165	  ,482678	   ,401132	    ,376453	     ,345250	      ,254152
,1565450	 ,736662	  ,511669	   ,404946	    ,394337	     ,351479	      ,268068
,1622101	 ,771376	  ,524748	   ,443545	    ,414169	     ,371114	      ,276676
,1629972	 ,806735	  ,546841	   ,461633	    ,422919	     ,387566	      ,294835
,1688946	 ,840472	  ,572369	   ,475467	    ,437518	     ,399581	      ,309770
,1759423	 ,877824	  ,592288	   ,490476	    ,453864	     ,411075	      ,319174
,1798657	 ,910685	  ,614045	   ,506829	    ,474774	     ,430010	      ,330859
,1864403	 ,944424	  ,636666	   ,521964	    ,498194	     ,456866	      ,342533
,1928712	 ,979829	  ,658078	   ,537415	    ,505122	     ,460891	      ,354013
,1992545	 ,1014176	  ,685117	   ,552764	    ,516870	     ,470284	      ,367792
,2060512	 ,1048984	  ,703318	   ,562114	    ,546184	     ,495628	      ,376375
