,16356			 ,15158			  ,14104		   ,15828		    ,16131		     ,15465		      ,14465		       ,14860			,16120			 ,14355
,17579			 ,18366			  ,15510		   ,17098		    ,16069		     ,17504		      ,17912		       ,16617			,18451			 ,16373
,19497			 ,16999			  ,17910		   ,18401		    ,19180		     ,18806		      ,18822		       ,18825			,19749			 ,16941
,23762			 ,20786			  ,21165		   ,21268		    ,20274		     ,21694		      ,21810		       ,23182			,22711			 ,21016
,26301			 ,25157			  ,28067		   ,27089		    ,24966		     ,24288		      ,26169		       ,25970			,29178			 ,27333
,31024			 ,29968			  ,31492		   ,28900		    ,27534		     ,30283		      ,29417		       ,32674			,29730			 ,26992
,36469			 ,30815			  ,34061		   ,36213		    ,34814		     ,40156		      ,34372		       ,36420			,31874			 ,35025
,39475			 ,37884			  ,40930		   ,37096		    ,36505		     ,38223		      ,40629		       ,41748			,35663			 ,36539
,44050			 ,40084			  ,45615		   ,41251		    ,40264		     ,37931		      ,45841		       ,42872			,43429			 ,47917
,50999			 ,47639			  ,47315		   ,41670		    ,45926		     ,44256		      ,47485		       ,47838			,45980			 ,44695
,51077			 ,52133			  ,47186		   ,53594		    ,57386		     ,56370		      ,51560		       ,45742			,52225			 ,48308
