,709			 ,693			  ,808			   ,839			    ,655		     ,635		      ,761		       ,797			,659			 ,668
,1845			 ,1646			  ,2918			   ,1434		    ,1291		     ,1674		      ,2109		       ,2228			,2204			 ,1615
,3220			 ,3151			  ,2713			   ,2543		    ,2581		     ,4044		      ,3022		       ,2716			,2721			 ,2753
,3577			 ,3194			  ,3370			   ,3568		    ,3092		     ,3348		      ,3015		       ,3636			,3687			 ,3587
,3363			 ,7325			  ,3960			   ,4461		    ,3938		     ,3642		      ,3601		       ,4140			,4151			 ,3448
,4168			 ,5195			  ,3946			   ,4459		    ,4054		     ,3735		      ,3914		       ,4704			,3666			 ,3681
,3892			 ,4444			  ,4706			   ,4106		    ,3999		     ,3946		      ,4125		       ,4050			,4454			 ,4092
,5147			 ,4361			  ,5764			   ,5199		    ,4283		     ,5194		      ,4465		       ,4870			,4260			 ,4585
,4576			 ,4324			  ,4417			   ,7599		    ,5148		     ,6013		      ,4504		       ,4628			,5701			 ,4501
,7331			 ,10444			  ,4660			   ,4654		    ,5665		     ,5233		      ,4638		       ,4819			,4579			 ,6582
,4813			 ,4905			  ,4629			   ,4571		    ,4785		     ,6108		      ,4441		       ,4819			,4823			 ,5891
