,650			 ,624			  ,574			   ,595			    ,754		     ,1045		      ,607		       ,670			,747			 ,600
,655			 ,750			  ,649			   ,646			    ,720		     ,691		      ,660		       ,629			,696			 ,637
,727			 ,686			  ,794			   ,722			    ,713		     ,812		      ,726		       ,727			,719			 ,722
,1028			 ,825			  ,810			   ,931			    ,748		     ,807		      ,718		       ,840			,788			 ,1008
,846			 ,807			  ,830			   ,839			    ,934		     ,817		      ,792		       ,808			,874			 ,968
,840			 ,766			  ,869			   ,785			    ,816		     ,756		      ,753		       ,791			,831			 ,891
,869			 ,817			  ,860			   ,797			    ,858		     ,844		      ,819		       ,888			,852			 ,850
,852			 ,833			  ,916			   ,845			    ,881		     ,901		      ,846		       ,854			,859			 ,865
,990			 ,968			  ,966			   ,1100		    ,955		     ,951		      ,991		       ,938			,962			 ,1027
,870			 ,916			  ,898			   ,872			    ,1035		     ,880		      ,879		       ,940			,928			 ,868
,887			 ,909			  ,879			   ,1113		    ,863		     ,909		      ,876		       ,858			,942			 ,922
