,1136			 ,1229			  ,1056			   ,1140		    ,1269		     ,1368		      ,1128		       ,1106			,1202			 ,1228
,1861			 ,1724			  ,1718			   ,1525		    ,1635		     ,1653		      ,1748		       ,1554			,1722			 ,1516
,2574			 ,2449			  ,2430			   ,2363		    ,2230		     ,2379		      ,2458		       ,2377			,2468			 ,2368
,2884			 ,2942			  ,2941			   ,2799		    ,2746		     ,2995		      ,3066		       ,2775			,2791			 ,2713
,3263			 ,3057			  ,3283			   ,3321		    ,3351		     ,3361		      ,3158		       ,3297			,3377			 ,3151
,3830			 ,3326			  ,3326			   ,3238		    ,3529		     ,3483		      ,3478		       ,4439			,3537			 ,11124
,3678			 ,4269			  ,4031			   ,3602		    ,4683		     ,4243		      ,3773		       ,4218			,3554			 ,3523
,4160			 ,3777			  ,3888			   ,3950		    ,4116		     ,3928		      ,3763		       ,3818			,4046			 ,3781
,4232			 ,4125			  ,4037			   ,4114		    ,4132		     ,4592		      ,4665		       ,4033			,3977			 ,3998
,4563			 ,4704			  ,4268			   ,4390		    ,4636		     ,4463		      ,4244		       ,4341			,4300			 ,4912
,4394			 ,4677			  ,4320			   ,4692		    ,4397		     ,4671		      ,4690		       ,4578			,4995			 ,4555
