,249			 ,247			  ,250			   ,268			    ,246		     ,252		      ,256		       ,245			,242			 ,242
,277			 ,253			  ,294			   ,260			    ,313		     ,265		      ,257		       ,277			,259			 ,268
,289			 ,261			  ,291			   ,292			    ,271		     ,285		      ,315		       ,281			,331			 ,277
,267			 ,438			  ,332			   ,327			    ,325		     ,335		      ,267		       ,315			,294			 ,310
,299			 ,279			  ,293			   ,281			    ,314		     ,273		      ,336		       ,371			,286			 ,263
,329			 ,312			  ,271			   ,365			    ,268		     ,265		      ,271		       ,304			,277			 ,313
,276			 ,317			  ,295			   ,328			    ,295		     ,287		      ,308		       ,296			,326			 ,279
,284			 ,268			  ,300			   ,320			    ,277		     ,270		      ,275		       ,293			,330			 ,280
,311			 ,327			  ,340			   ,311			    ,313		     ,337		      ,328		       ,325			,308			 ,355
,271			 ,308			  ,297			   ,283			    ,300		     ,277		      ,294		       ,289			,289			 ,320
,266			 ,263			  ,265			   ,229			    ,240		     ,273		      ,248		       ,232			,264			 ,229
