,7532			 ,7511			  ,9246			   ,7724		    ,7404		     ,7565		      ,7824		       ,7693			,7493			 ,7788
,19223			 ,18205			  ,21607		   ,18474		    ,22995		     ,19325		      ,19374		       ,20290			,18423			 ,19631
,32422			 ,29912			  ,35040		   ,34278		    ,31165		     ,34220		      ,31660		       ,31989			,41792			 ,32032
,44671			 ,49957			  ,58453		   ,57502		    ,57153		     ,58994		      ,43383		       ,54242			,49143			 ,50401
,67885			 ,58153			  ,62830		   ,58902		    ,68636		     ,58330		      ,76156		       ,84828			,60478			 ,55083
,89668			 ,83783			  ,66832		   ,107243		    ,65803		     ,67332		      ,67370		       ,82436			,72594			 ,83825
,81313			 ,99672			  ,92252		   ,105749		    ,88539		     ,88023		      ,97935		       ,94352			,103881			 ,84717
,98878			 ,92351			  ,112357		   ,119689		    ,97946		     ,91982		      ,95818		       ,97703			,113451			 ,96562
,106200			 ,114004		  ,120593		   ,104053		    ,104162		     ,119940		      ,112769		       ,106601			,107367			 ,137744
,118184			 ,138480		  ,138266		   ,126820		    ,129667		     ,117244		      ,130261		       ,131498			,125969			 ,150837
,150885			 ,150007		  ,156895		   ,129060		    ,140002		     ,156513		      ,137407		       ,128065			,150170			 ,131553
